S,article_id,surprise_rating,second_rating,link,title,main_category,category_1,category_2,category_3,category_4,suprise_r1,suprise_r2,suprise_r3,surprise_avg,rouderd_suprise,like_r1,like_r2,like_r3,like_avg,rouded_like,c1_familiarity_r1,c1_familiarity_r2,c1_familiarity_r3,c2_familiarity_r1,c2_familiarity_r2,c2_familiarity_r3,c3_familiarity_r1,c3_familiarity_r2,c3_familiarity_r3,c4_familiarity_r1,c4_familiarity_r2,c4_familiarity_r3,article
221,16626,41,23,http://www.medicalnewstoday.com/articles/22581.php,Race influences how we cope with cancer,Cancer / Oncology,Cancer / Oncology,Flu / Cold / SARS,,,5,5,3,4.333333333,4,3,5,4,4,4,1,2,4,2,3,3,,,,,,,White patients cope better pressure cancer British Asian counterparts according research published online today Thursday British Journal Cancer Researchers carried study Leicester looked coping styles among 200 white British Asian cancer patients They found denial top strategies used British Asians Conversely white patients coped illness dwelling cancer compared British Asian patients This attitude linked less anxiety depression  About half British Asians surveyed said really believe cancer despite told agreeing cancer treatment compared less third white patients In groups denial linked increase depression The study based Leicester applied rating system used hospitals find depressed anxious patients looking answers standard questionnaire The combination answers threw new light ethnically diverse Britain copes cancer diagnosis British Asian patients felt helpless also likelier depressed feel fate controlled events Dr Paul Symonds one researchers University Leicester says Leicester large ethnic minority population In order provide optimal support patients need know different ethnic groups cope diagnosis cancer Asian patients seem suffer greater psychological distress following diagnosis cancer We intend conduct studies larger group patients study whether Asians white patients understand cancer different ways Kate Law Head Clinical Trials Cancer Research UK owners British Journal Cancer says This interesting study includes British Asian community looking coping styles used deal cancer In study British Asian patients appear unhealthy attitude cancer diagnosis often leading depression whereas white patients seem deal better better outlook This could many factors misunderstanding cancer one NHS may need focus targeted education campaign work substantiated Cancer Research UK Press Release
222,267676,38,34,http://www.medicalnewstoday.com/articles/309726.php,Extreme heat and precipitation linked to more severe asthma requiring hospitalization,Respiratory / Asthma,Respiratory / Asthma,Pediatrics / Children's Health,,,2,1,1,1.333333333,1,4,4,2,3.33,3.33,4,3,1,5,4,4,,,,,,,Extreme heat heavy rainfall related increased risk hospitalization asthma Maryland according study University Maryland School Public Health researchers Based decade asthma hospitalization data 115923 cases 20002012 researchers observed higher risk asthma hospitalization extreme heat extreme precipitation events The increases risk particularly high summer months Their findings published journal Environmental Health Previous scientific studies shown extreme weather events becoming common intense longer lasting response changing climate Our study shows increases number extreme heat extreme precipitation events particularly summer months lead asthma hospitalizations Maryland said Dr Amir Sapkota senior author study associate professor Maryland Institute Applied Environmental Health Recent estimates suggest 430000 adults 125000 children Maryland living asthma Researchers observed 23 increase risk asthma hospitalizations extreme heat event summer months This risk higher among 517 year olds Similarly extreme precipitation events summer months increased risk asthma hospitalizations 11 Our data show risk hospitalization asthma related extreme weather varies across demographic subgroups Maryland We need take differences account designing public health responses climate change said Dr Sutyajeet Soneja postdoctoral fellow Maryland Institute Applied Environmental Health lead author study To identify extreme weather events researchers relied county calendar day specific thresholds precipitation maximum temperature 90th 95th percentile respectively calculated based 30 years baseline data 19601989 The researchers suggest extreme heat events summer months may lead higher concentration harmful air pollutants ozone known exacerbate asthma Extreme precipitation events may lead release pollen spores leading severe asthma attack subsequent hospitalization Exposure extreme heat precipitation events associated increased risk hospitalization asthma Maryland USA Sutyajeet Soneja Chengsheng Jiang Jared Fisher Crystal Romeo Upperman Clifford Mitchell Amir Sapkota Environmental Health DOI101186s129400160142z Published online 27 April 2016
223,256991,64,31,http://www.medicalnewstoday.com/articles/298694.php,The fear of trying new foods may have negative dietary implications,Nutrition / Diet,Nutrition / Diet,Pediatrics / Children's Health,,,5,2,1,2.666666667,3,5,2,4,3.67,3.67,4,5,4,1,1,5,,,,,,,A study conducted UPVEHUUniversity Basque Country concluded neophobic children lower quality index terms Mediterranean diet Food neophobia fear refusal try new foods This typical feature infant development Nevertheless may end becoming habit even adulthood A study conducted UPVEHU among children 8 16 concluded neophobic participants lower quality index terms Mediterranean diet and more greater anxiety lower selfesteem The behaviour involving rejection new foodstuffs typical phase infant development 2 3yearolds subsides around age 5 The children go dietary neophobia also display signs anguish anxiety behaviour may even turn habit adulthood In PhD thesis researcher UPVEHUs Faculty Psychology Edurne Maiz conducted study 831 schoolchildren ages 8 16 In study used questionnaires infant neophobia adapted thesis participants asked whether prepared eat new foodstuffs Various data also gathered body composition participants well lifestyle for example diet physical exercise parental dietary styles different variables selfesteem anxiety From this explained researcher we found statistically significant differences many variables Neophobic behaviour may negative dietary implications insofar reduces variety food eaten The neophobic participants displayed lower quality index terms Mediterranean diet mainly due reduced consumption fruit vegetables increase foods regarded occasional consumption On whole parents tend control what much children eat Very often parents try get children eat new foodstuffs pressure parents exert caused frustration feel food rejected may negatively affect childs emotional state more associated greater levels neophobia In research neophobic children reported parents use parental feeding style known stimulation less control parents neophilic children children eat everything like try new foodstuffs We deduced explained Edurne Maiz that parents basically control stimulate lot moment comes give parental suffering also present this As regards anxiety data lead one understand childhood adolescence neophobes anxious neophiliacs Likewise respect selfesteem neophobes scored childhood less neophiliacs five dimensions studied within selfconcept family social physical emotional academic and adolescence scores family physical selfconcept lower In case significant difference found regarding body composition This could due fact nutritional supplements given moment taken food supplement said researcher The researcher keen to send message parents patient cases infant food neophobia develop get worse since it seen considerable number adults children serious problems this explained The researcher says avoid problem important strong parental bond child also recommends having relaxed pleasant atmosphere mealtimes children participate preparing food shopping using positive reinforcements and finally good model
224,40422,41,48,http://www.medicalnewstoday.com/articles/52981.php,Stroke Patients With Depression Often Not Treated For Depression,Depression,Depression,Stroke,,,2,5,4,3.666666667,4,3,5,2,3.33,3.33,3,5,5,1,1,2,,,,,,,Despite high rate depression  stroke survivors take antidepressants  according study Stroke Journal American Heart Association  Studies suggested association stroke survival mood disturbances depression But its unclear many stroke survivors suffer depression many treated particularly long term said Seana L Paul BSc Hons lead author study researcher National Stroke Research Institute Victoria Australia Stroke patients suffering depression found reduced quality life higher rate death important identify treat depression stroke Paul said From May 1 1997 April 30 1999 researchers identified stroke among 306631 people North East Melbourne Stroke Incidence Study NEMESIS Researchers excluded suffered subarachnoid hemorrhage bleeding brain Nurse researchers visited 289 participants 51 percent men average age 73 homes five years stroke During interviews researchers assessed participants depression asked medications taking including antidepressants At five years stroke researchers found  Nearly one five stroke survivors 17 percent suffering depression  Only 22 percent depression taking antidepressant  About 28 percent taking antidepressants still depressed  72 percent taking antidepressants depressed could mean medication successful group We confirmed depression common even five years stroke majority taking antidepressant medication depressed Paul said This provides indirect evidence antidepressants effective treating depression stroke patients She said several factors contribute small percentage depressed stroke patients taking antidepressant medication The low treatment levels found study may indicate physicians unwilling prescribe treatments demonstrated effective safe treatment depression among stroke patients Paul said Another factor may depression among stroke patients diagnosed We know stroke survivors depressed live longer higherquality lives depressed Consequently educating physicians stroke survivors families risk depression stroke may increase identification depression lead improved treatment The findings demonstrate urgent need large randomized controlled trial antidepressant medication stroke said In previous studies researchers used small samples patients inadequate follow limited ability properly assess efficacy antidepressant medication depression stroke  Coauthors are Helen M Dewey PhD Jonathan W Sturm PhD Richard AL Macdonell MD Amanda G Thrift PhD The National Health Medical Research Council Victorian Health Promotion Foundation Foundation High Blood Pressure Research National Stroke Foundation funded study For general information stroke  Statements conclusions study authors published American Heart Association scientific journals solely study authors necessarily reflect association policy position The American Heart Association makes representation warranty accuracy reliability Contact Karen Astle American Heart Association
225,267635,83,29,http://www.medicalnewstoday.com/articles/309685.php,Speakers of two dialects may share cognitive advantage with speakers of two languages,Neurology / Neuroscience,Neurology / Neuroscience,Pediatrics / Children's Health,,,4,1,1,2,2,4,5,3,4,4,3,5,3,4,5,4,,,,,,,The ability children speak two dialects  two closely related varieties language  may confer cognitive advantages reported multilingual children speak two substantially different languages such English French The new findings bidialectalism published journal Cognition following study undertaken researchers University Cambridge University Cyprus Cyprus University Technology Although topic continuing academic public scrutiny lot research date reports positive cognitive net effect multilingual children compared children speak one language The effect usually manifest attention cognitive flexibility ability inhibit irrelevant information researchers arguing advantages bilingualism evident throughout human lifespan Until now however little research children speaking two dialects may separated subtle linguistic differences Bidialectalism systematic use two different dialects language widespread many parts world In USA millions children grow speaking African American English home well Mainstream American English school Similar situations arise many parts Europe Germanspeaking parts Switzerland schoolchildren may feel comfortable talk school subjects High German switch SwissGerman everyday conversation British English Gaelic Welsh well established dialects well newly emerging ones Multicultural London English rising number speakers especially among young urban people To date bidialectalism found Lowland Scotland in speakers Scots Standard Scottish English parts Northern Ireland elsewhere However criteria classifying two varieties dialects rather independent languages strictly objective could debated whether cases bilingualism instead Dr Kyriakos Antoniou Dr Napoleon Katsos University Cambridge studied cognitive performance children grew speaking Cypriot Greek Standard Modern Greek  two varieties Greek closely related differ levels language analysis vocabulary pronunciation grammar The study showed multilingual bidialectal children exhibited advantage monolingual children evident composite cognitive processes including memory attention cognitive flexibility suggesting advantages previously reported multilingual children could shared children speaking two dialects Dr Kyriakos Antoniou Cambridges Department Theoretical Applied Linguistics said What exciting encouraging findings able replicate advantages bilingualism children speak two varieties language They need diverse English Mandarin Chinese The distance languages dialects make much difference according tests findings Systematically switching two forms language even quite similar ones seems provide mind extra stimulation leads higher cognitive performance Our findings could significant parents children UK countries across Europe beyond children speak variety different dialects Germany Italy Spain significant numbers dialectal speakers parts US China With rise increased recognition dialects UK bidialectalism might become even relevant UK near future What research suggests contrary widely held beliefs treat multilingual bidialectal children problematic When comes language plurality advantage The study consisted 64 bidialectal children 47 multilingual children 25 monolingual children Comparisons three groups performed two stages socioeconomic status language proficiency general intelligence children taking part factored research methodology Dr Napoleon Katsos one study authors said Previous research documented positive associations childhood bilingualism cognitive abilities The novel important contribution study showed similar positive effects extend children speaking two closely related dialects language In qualitative terms effects bidialectalism multilingualism were general quite similar However research needed topic Dialects much underrecognised undervalued This kind research make people appreciate advantage bidialectalism may important think identity educate children importance language learning Dr Antoniou Dr Katsos retesting extending hypotheses larger scale Belgium collaboration researchers University Brussels Belgium offers ideal testing ground dialects Dutch WestFlemish spoken alongside standard versions Dutch French The new study includes larger samples new measures better understand effects bidialectalism cognitive linguistic development relation bilingualism
226,272491,65,12,http://www.medicalnewstoday.com/articles/314600.php,Sweet potato wastewater may help weight loss,Obesity / Weight Loss / Fitness,Obesity / Weight Loss / Fitness,Nutrition / Diet,,,5,4,3,4,4,5,5,4,4.67,4.67,3,3,3,3,3,3,,,,,,,Sweet potatoes exceptionally nutritious vegetable High carotenoids sweet potatoes great source vitamin A great eye health antioxidant antiaging properties also linked cancer prevention Additionally sweet potatoes rich wide range B vitamins including B1 thiamine B2 B3  riboflavin niacin respectively  well B5 B6 According National Institutes Health B vitamins help body process food energy well form red blood cells New research  published journal Heliyon  suggests starchy water left cooking sweet potatoes may slimming effects help digestion A team researchers  led Dr Koji Ishiguro National Agriculture Food Research Organization Japan  looking ways reuse wastewater resulting processing sweet potatoes industrial scale As such thought testing nutritional value dietary effects According International Potato Center sweet potatoes one worlds important food crops 105 million metric tons vegetable produced every year around world 95 percent crops grown developing countries Sweet potatoes suitable processing due high starch content Sweet potato currently used produce flour noodles bread candy pectin liquors starch starchbased industrial products In Japan around 15 percent sweet potato used produce starchderived products well processed foods distilled spirits The result large amount wastewater contains organic residue usually discarded rivers oceans This could cause serious environmental problems Since wastewater also contains proteins Dr Ishiguro team decided investigate effects digestion mice We throw huge volumes wastewater contains sweet potato proteins  hypothesized could affect body weight fat tissue factors Finding alternative uses sweet potato proteins wastewater could good environment industry also potentially health Dr Koji Ishiguro Researchers fed three groups mice highfat diets One groups given sweet potato peptide protein SPP high concentration another group low concentration After 28 days researchers weighed mice took series measurements They examined liver mass measured fatty tissue fat cholesterol levels triglyceride levels Scientists also measured levels leptin adiponectin regulate bodys metabolism play key role obesity metabolic syndrome Mice fed higher levels SPP significantly lower body weight liver mass These mice also lower cholesterol levels triglycerides well higher levels metabolic hormones leptin adiponectin The findings suggest SPP suppresses appetite controls lipid metabolism mice Further research needed see effects apply humans Dr Ishiguro says results very promising We surprised SPP reduced levels fat molecules mice appears involved controlling appetite suppression molecules These results promising providing new options using wastewater instead discarding it We hope SPP used functional food material future Dr Koji IshiguroRead health benefits sweet potatoes
227,269552,48,24,http://www.medicalnewstoday.com/articles/311634.php,Bicycling may help prevent type 2 diabetes,Diabetes,Diabetes,Obesity / Weight Loss / Fitness,,,2,4,5,3.666666667,4,3,4,3,3.33,3.33,2,4,4,2,4,4,,,,,,,Habitual cycling whether transportation work recreational activity associated lower risk developing type 2 diabetes T2D according study published week PLOS Medicine This cohort study conducted Martin Rasmussen University Southern Denmark colleagues included 24623 men 27890 women Denmark recruited ages 50 65 compared association selfreported recreational commuter cycling habits T2D incidence measured Danish National Diabetes Registry The authors found participants engaged habitual cycling less likely develop T2D risk developing T2D appeared decrease longer time spent cycling per week Five years initially recruited participants contacted followup cycling habits reassessed People took habitual cycling period 20 lower risk T2D noncyclists While authors adjusted potential confounding variables diet alcohol smoking habits physical activity outside cycling also analysed confounding waist circumference bodymass index chance results may affected unmeasured confounding bias due patients missing data result selfreported cycling behavior However findings cycling activity even initiating cycling late adulthood may reduce risk T2D supports development programs encourage habitual cycling Dr Rasmussen says Because cycling included everyday activities may appealing large part population This includes people due lack time would otherwise resources engage physical activity He also notes We find especially interesting started cycling lower risk type 2 diabetes given study population men women middle old age This emphasizes even entering elderly age late take cycling lower ones risk chronic disease This research article accompanied Perspective Jenna Panter David Ogilvie calling public health action support evaluating interventions designed increase physical activity habits population Both articles publishing part PLOS Medicine Special Issue Diabetes Prevention Guest Editors Nick Wareham William Herman The Diet Cancer Health study funded Danish Cancer Society AG supported Lundbeck Foundation R151201314641 Danish Council Independent Research DFF400400111 The remaining authors received funding work The funders role study design data collection analysis decision publish preparation manuscript JP DO supported Medical Research Council The funders role study design data collection analysis decision publish preparation manuscript
228,271777,33,15,http://www.medicalnewstoday.com/articles/313880.php,Not eating enough in hospital: Risk factors are the same all over the world,Public Health,Public Health,Nutrition / Diet,,,5,4,2,3.666666667,4,5,5,3,4.33,4.33,3,3,5,4,3,5,,,,,,,Inadequate food intake malnourishment sick people area concern health policy Public Health one impacts upon social economics countries high low incomes Ensuring patients receive adequate nutrition therefore part holistic treatment plan explains Karin Schindler nutritional expert MedUni Viennas Department Medicine III Morbidity mortality rates 8times higher malnourished patients cases prolongs time need spend hospital Schindler On hand must bear mind 50  60 patients eat meal offered reduced food intake rarely offset nutritional care The researchers MedUni Vienna investigated factors and pattern influence food intake patients specific day nutritionDay healthcare structures relevant nutrition 91245 hospitalised patients throughout world published results leading magazine The American Journal Clinical Nutrition The central finding factors reduced mobility unintentional weight loss patient eaten enough previous week signify increased risk eating less Women frequently affected men young old people people aged 40 79 years These four factors practically equal importance everywhere  even USA patients generally come hospital higher Body Mass Index The pattern always same illness goes handinhand reduced appetite Schindler If one factors identified alarm bells ring The eating patterns patients monitored supervised advised say MedUni Vienna experts The excuse patients often give I ill Im eating even thats good least Im losing weight acceptable bad prognosis These risk groups need special attention This special attention must incorporated holistic treatment plan Schindler Firstly patients eating behaviour systematically evaluated admission hospital The simple questions quick ask easy answer It explained patients important eat It might also worth considering structural adaptations possibility offering smaller portions highly nutritious snacks meals special individual meals In addition that helpful involve relatives encouraging eat
229,33645,62,23,http://www.medicalnewstoday.com/articles/44406.php,Combination Therapy Shows Promising Results In Patients With Advanced Lung Cancer,Lung Cancer,Lung Cancer,Cancer / Oncology,,,3,2,3,2.666666667,3,4,4,4,4,4,2,1,1,3,1,1,,,,,,,An early phase study pairing experimental targeted therapy common antiinflammatory produced promising results patients advanced lung cancer  researchers UCLAs Jonsson Cancer Center reported Pairing targeted therapy Tarceva antiinflammatory drug Celebrex increased response rates lung cancer patients threefold said Dr Karen Reckamp assistant professor hematologyoncology lead author study The research appears June 1 issue Clinical Cancer Research peerreviewed journal American Association Cancer Research Previous laboratory studies UCLA showed cell signaling pathway known COX2 may linked resistance drugs like Tarceva block tumor cell growth targeting protein EGFR epidermal growth factor receptor Researchers theorized giving Tarceva Celebrex COX2 inhibitor would help battle resistance prove affective combination lung cancer Typically 10 percent lung cancer patients respond Tarceva In Reckamps study combination therapy 33 percent patients responded Tarceva alone great drug lot clinical benefits small proportion patients Reckamp said With drug combination saw increase response rates indicating overcoming resistance We also may beginning understand mechanisms resistance Volunteers Phase I study patients advanced lung cancer failed respond conventional therapies took several Celebrex pills one Tarceva pill day After eight weeks researchers looked response rates Patients able stay study long experience tumor growth The longest duration response 93 weeks Reckamp said three four times longer average duration response patient advanced lung cancer The study part Specialized Program Research Excellence SPORE lung cancer UCLAs Jonsson Cancer program funded National Cancer Institute top research institutions nationwide find better effective ways prevent detect treat lung cancer This trial important early step utilizing combination targeted therapies lung cancer said Dr Steven Dubinett director UCLAs lung cancer SPORE professor pulmonary critical care medicine Dr Reckamps trial first study increasing doses COX2 inhibitor lung cancer attempt define optimal biological dose Larger trials combination therapies utilizing dose required The biology individuals tumor determines whether respond Tarceva Because researchers yet fully understand biologic characteristics determine response cant test patients first determine given drug Since 90 percent patients respond Tarceva drug option them Reckamp said portion may able take Tarceva combined Celebrex Because target broken cancer cell leave healthy cells alone therapies like Tarceva cause fewer side effects conventional therapies chemotherapy  targets fast growing cells often results debilitating side effects Reckamp characterized side effects seen combination therapy minor The next step larger Phase II study confirm efficacy combination therapy probe mechanisms Tarceva resistance Reckamp said That study expected begin UCLA fall Reckamps study first determine safest effective dose Celebrex use lung cancer Previously doses based studies done colon cancer patients I think results early phase study promising I anticipate well better understanding Tarceva resistance near future said Lung cancer common cause cancerrelated death men women accounts 29 percent cancer deaths This year alone 174470 people diagnosed lung cancer United States Of those 162460 die according American Cancer Society Only 15 percent people get lung cancer reach fiveyear survival Those advanced disease usually survive less year Its crucial develop better treatments disease Reckamp said Kim Irwin kirwinmednetuclaedu University California  Los Angeles httpwwwnewsroomuclaedu
230,32179,40,18,http://www.medicalnewstoday.com/articles/42517.php,"Suicide Awareness, Prevention Programs Needed In US Schools",Depression,Depression,Pediatrics / Children's Health,,,1,3,3,2.333333333,2,3,4,4,3.67,3.67,5,2,3,4,2,4,,,,,,,When comes talking suicide Americans avoid topic much way skirted discussions sex 20 years ago But president American Association Suicidology says time long overdue people start talking problem launch suicide awareness prevention programs nations schools James Mazza challenge 600 people attending associations 39th annual meeting Seattle make suicide a community societal issue one escapes it Mazza University Washington associate professor educational psychology focuses research reducing preventing suicide said critical need initiate suicide awareness prevention program nations schools Suicide currently third leading cause death among teenagers young adults ages 15 24 behind traffic accidents homicide Right anything mental health focus schools standardized across state country We need focus kids first getting bumps bruises life said There widescale school programs suicide awareness prevention largely schools resources effectively deal atrisk youth identify And federally funded resources available mental health assessment As result schools focus students pass Washington Assessment Student Learning assessment tests ignoring mental health needs Education equated academics We resources dedicated suicide prevention awareness schools The problem however transcends schools Mazza said noting secondleading cause death among adults 65 older age group also nations highest suicide rate Mazza said members organization must work businesses colleges treatment centers well schools deal suicide prevention awareness across life span There major need assessment suicide intervene people ages risk suicide  Contact Joel Schwarz University Washington
231,32517,48,25,http://www.medicalnewstoday.com/articles/42945.php,New Technique Offers Relief For Patients With Spinal Tumors,Cancer / Oncology,Cancer / Oncology,Bones / Orthopedics,,,4,3,4,3.666666667,4,4,4,3,3.67,3.67,3,1,4,2,1,1,,,,,,,A radiologist University California San Diego UCSD School Medicine developed new procedure treat fractured vertebrae caused spinal tumors procedure may decrease risk complications experienced 5 10 patients malignant tumors spine Wade Wong DOFACR UCSD professor radiology  San Diego clinician Bassem Georgy MD partially removed spinal tumors 28 patients repairing spine vertebroplasty  procedure cement stabilize damaged vertebrae He used technology utilizes plasmamediated radiofrequency energy combined saline solution gently precisely remove soft tissue low temperature  minimizing damage healthy tissue This imageguided procedure guarantees ultimate accuracy said Wong It enables us provide pain relief improved mobility patients minimizing risks traditionally limited treatment options cancer patients Wong present study May 6 American Society Interventional Therapeutic Neuroradiology ASITN He added patients study previously bedridden became much active fractures repaired using method increasing overall quality life Vertebral compression fractures VCFs common complications spinal tumors Approximately 10 percent estimated one million VCFs occur year United States caused spinal metastases Unfortunately spinal tumors present challenges traditionally left many cancer patients treatment options Open surgery invasive involves long recovery Traditional vertebroplasty kyphoplasty  two procedures utilize bone cement stabilize fractured vertebrae  also risky tumor present procedures cause cancerous cells spread blood stream They also carry higher risk bone cement leaking vertebral body spinal canal potentially leading paralysis Wong removed tumor prior vertebroplasty 28 patients using plasmamediated procedure commonly known Coblation SpineWand Following partial removal tumor bone cement injected cavity created process order stabilize fractured bone fragments The researchers report 28 patients treated study experienced decreased pain improved function I never dreamed would successful said Wong adding first approached ArthroCare Corporation manufacturers Coblation process skeptical The device already use medical applications ear nose throat surgery arthroscopic applications Generally cancerous lesion spine eat away bone cause mass spinal canal resulting paralysis great pain Wong said The process first removes tumor bulk delivers cement strength vertebrae reduces pain Its like creating cast fracture said Wong but inside body instead outside Using process preclude treatments chemo radiation therapy  Though process cure cancer add quality life patient Even patients malignancy mean end life This procedure allows resume activities like walking even rollerblading enjoyed before said Wong adding Quality life whats key  For information Coblation please visit ArthroCare Corporation web site at httpwwwarthrocarecom Contact Debra Kain University California  San Diego
232,1940,43,20,http://www.medicalnewstoday.com/articles/5625.php,Stop telling people to avoid sun - say cancer experts,Cancer / Oncology,Cancer / Oncology,Melanoma / Skin Cancer,,,5,3,5,4.333333333,4,5,4,4,4.33,4.33,2,4,3,1,3,1,,,,,,,A reversal official advice dangers sun called yesterday could lead one biggest revisions health warning decades The head Britains drive cut soaring skin cancer rates said advice restrict sunbathing draconian unnecessary lifted For least decade doctors warned sunbathers there thing healthy tan Now Dr Neil Walker chairman UK Skin Cancer Prevention Working Party umbrella group dozen professional organisations says warning counterproductive The phrase no thing healthy tan one way getting message across sun damage lead development potentially fatal skin cancers I think need look again I think telling people avoid sun entirely draconian unnecessary Dr Walker consultant dermatologist Churchill Hospital Oxford UK said millions people went holiday every year aim getting tan telling stay sun invited ridicule There lot people on working party almost religious conviction dangers sun My view got try look things practically But zealots rule moment He added There may argument thing safe tan argument works We find way putting message across damaging behaviour I tell patients bake burn About 50000 people year Britain develop skin cancers involve minor lesions easily removed In 2000 7000 cases melanoma  serious form skin cancer 24 per cent five years The rise melanoma one fastestgrowing cancers  linked growing number Britons holidaying abroad evidence suggests sun exposure childhood main risk But experts say benefits sun underplayed Sitting sun enjoyable relaxing makes people feel better stimulates production vitamin D  may protect range diseases Professor George Davey Smith colleagues University Bristol UK said paper British Medical Journal 1999 For many people small absolute increase risk melanoma could easily outweighed effect reduced sunlight mood Sara Hiom Cancer Research UK defended warning safe tan The reasoning behind comment tan sign DNA damage lead skin cancer later life Of course tiny bit golden colour safer burning sun But come rather strident comments get message across We rather strict Source The independent Newspaper UK httpnewsindependentcoukukhealthstoryjspstory486348
233,272777,24,23,http://www.medicalnewstoday.com/articles/314887.php,Nutrition data review shows red meat has neutral effect on cardiovascular disease risk factors,Cardiovascular / Cardiology,Cardiovascular / Cardiology,Nutrition / Diet,,,3,5,4,4,4,4,4,4,4,4,2,4,2,2,4,3,,,,,,,Consuming red meat amounts typically recommended affect shortterm cardiovascular disease risk factors blood pressure blood cholesterol according new review clinical trials Purdue University During last 20 years recommendations eat less red meat part healthier diet research supports red meat incorporated healthier diet said Wayne Campbell professor nutrition science Red meat nutrientrich food source protein also bioavailable iron The recommendations limit red meat diet come mainly studies relate peoples eating habits whether cardiovascular disease While studies suggest red meat consumption associated higher risk cardiovascular disease designed show red meat causing cardiovascular disease So Campbell doctoral student Lauren OConnor postdoctoral researcher Jung Eun Kim conducted review analysis past clinical trials able detect cause effect eating habits health risks They screened hundreds related research articles focusing studies met specific criteria including amount red meat consumed evaluation cardiovascular disease risk factors study design An analysis 24 studies met criteria published American Journal Clinical Nutrition We found consuming half serving per day red meat equivalent 3 ounce serving three times per week worsen blood pressure blood total cholesterol HDL LDL triglyceride concentrations commonly screened healthcare providers OConnor said This research includes types red meat mostly unprocessed beef pork Campbell also said analysis needed evaluation blood pressure cholesterol sole determinants someone develop cardiovascular disease For example length time experiments done ranged weeks months opposed years decades could take people develop cardiovascular disease cardiovascular event It also important recognize findings specific selected indicators cardiovascular disease risk Campbell said Comparable research needed assess health risk factors clinical trials including inflammation blood glucose control
234,36206,37,20,http://www.medicalnewstoday.com/articles/47646.php,Cancer Patients May Not Benefit From Dietary Modifications,Cancer / Oncology,Cancer / Oncology,Nutrition / Diet,,,3,3,4,3.333333333,3,2,4,2,2.67,2.67,1,4,4,2,5,3,,,,,,,One study metaanalysis 59 trials found little evidence diet associated survival prognosis The study suggests neither use garlic vitamin supplements delays progression precancerous gastric lesions cancer  Numerous studies linked dietary modifications vitamins cancer prevention treatment But researchers worried dietary changes may harmless concern echoed European Union recommendation tighten sales supplements Steven Thomas MD PhD University Bristol United Kingdom colleagues used database searches identify 59 trials investigated effects diverse range nutritional interventions patients previous diagnosis cancer precancerous lesions Trial results combined using metaanalysis The authors suggest trials provide little evidence specific interventions effect diseasefree survival mortality recurrence They say impact nutritional interventions cannot estimated reliably limited number trials many small low quality The authors write The large personal expenditure supplements dietary modifications patients cancer demonstrates urgent need understand effects cancer outcomes This vulnerable group people need better informed diet one areas lives may feel control A second study Chinese adults showed garlic vitamin supplements reduce prevalence precancerous lesions gastric cancer  treatment kill Helicobacter pylori may limit progression lesions cancer reduce prevalence In Linqu County China gastic cancer causes 42 cancer deaths H pylori bacteria present 67 adults H pylori causes gastric cancer WeiCheng You MD Beijing Institute Cancer Research Mitchell Gail MD PhD National Cancer Institute Bethesda Md colleagues tested 3365 Chinese adults ages 3564 Linqu County Beginning 1995 subjects randomly assigned receive various combinations three interventionsonetime treatment antibiotics H pylori longterm vitamin E C selenium supplements longterm garlic supplementsor placebo  The researchers reassessed patients 1999 2003 The authors found onetime use antibiotics amoxicillin omeprazole treat H pylori infection reduced severity progression precancerous gastric lesions The data also suggested prove antibiotic treatment reduced gastric cancer incidence Longterm vitamin garlic supplementation effect incidence gastric cancer progression precancerous lesions The authors write  H pylori treatment reduces prevalence precancerous gastric lesions may reduce gastric cancer incidence  Longterm vitamin garlic supplementation beneficial effects In accompanying editorial examining studies John A Baron MD Dartmouth Medical School Lebanon NH discusses reasons two studies may come negative conclusions suggests changes could made study designs He writes Together two articles issue Journal well illustrate contemporary status chemoprevention hard summarize many negative findings nuggets progress  Contacts  Article 1 Cherry Lewis CherryLewisbristolacuk 44 117 928 8086  Article 2 NCI Press Officers 3014966641 NCIPressOfficersmailnihgov  Editorial John A Baron 6036503456 johnabarondartmouthedu Citations  Article 1 Davies A Smith GD Harbord R Bekkering GE Sterne JAC Beynon R et al Nutritional Interventions Outcome Patients Cancer Preinvasive Lesions Systematic Review J Natl Cancer Inst 2006 98961973  Article 2 You WC Brown LM Zhang L Li JY Jin ML Chang YS et al Randomized DoubleBlind Factorial Trial Three Treatments Reduce Prevalence Precancerous Gastric Lesions J Natl Cancer Inst 2006 98974983  Editorial Baron JA Nutritional Chemoprevention Cancer Whats Up J Natl Cancer Inst 2006 98945946 Note The Journal National Cancer Institute published Oxford University Press affiliated National Cancer Institute Attribution Journal National Cancer Institute requested news coverage Visit Journal online httpjncicancerspectrumoxfordjournalsorg  Contact Ariel Whitworth Journal National Cancer Institute
